2016 BirdLife/HBW/IUCN scientific name;2016 BirdLife/HBW/IUCN English name;Sequence;IUCN Red List (2016);EU27 Red List (2015);1999 EU list (Voous);1999 EU list (Sibley & Monroe);Reason for change (1999 vs 2015);Reason for change (2015 vs 2018);Occurrence in EU;Birds Directive synonym;Annex I ;Annex II/A;Annex II/B;Annex III/A;Annex III/B;Annex restrictions & notes;Migratory status in EU;Justification for migratory status;CMS;AEWA;Raptors MoU;AEMLAP;CITES;Council Reg. No 338/97;IOC (v.7.2) species;IOC (v.7.2) name;Clements (v.2016) species;Clements (v.2016) name;Howard & Moore (v.4) species;Howard & Moore (v.4) name;
Larus ridibundus;Black-headed Gull;2584;LC;LC;Larus ridibundus;Larus ridibundus;;;N, H + M + W;;;;II/B;;;;Migratory;Listed by AEWA;;AEWA;;;;;Yes;Chroicocephalus ridibundus;Yes;Chroicocephalus ridibundus;Yes;Chroicocephalus ridibundus;
Larus ichthyaetus;Pallas's Gull;2596;LC;NE;Larus ichthyaetus;Larus ichthyaetus;;;N, h + M;;;;;;;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Ichthyaetus ichthyaetus;Yes;Ichthyaetus ichthyaetus;Yes;Ichthyaetus ichthyaetus;
Larus melanocephalus;Mediterranean Gull;2598;LC;LC;Larus melanocephalus;Larus melanocephalus;;;N, H + M + W;;I;;;;;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Ichthyaetus melanocephalus;Yes;Ichthyaetus melanocephalus;Yes;Ichthyaetus melanocephalus;
Larus audouinii;Audouin's Gull;2601;LC;LC;Larus audouinii;Larus audouinii;;;N, h;;I;;;;;;Migratory;Listed by CMS and AEWA;I/II;AEWA;;;;;Yes;Ichthyaetus audouinii;Yes;Ichthyaetus audouinii;Yes;Ichthyaetus audouinii;
Larus canus;Mew Gull;2608;LC;LC;Larus canus;Larus canus;;;N, H + M + W;;;;II/B;;;;Migratory;Listed by AEWA;;AEWA;;;;;Yes;Larus canus;Yes;Larus canus;Yes;Larus canus;
Larus fuscus;Lesser Black-backed Gull;2613;LC;LC;Larus fuscus;Larus fuscus;Includes graellsii and heuglini;;N + M;;;;II/B;;;;Migratory;Listed by AEWA;;AEWA;;;;;Yes;Larus fuscus;Yes;Larus fuscus;Yes;Larus fuscus;
Larus argentatus;European Herring Gull;2614;LC;VU;Larus argentatus;Larus argentatus;;;N, H + W;;;;II/B;;;;Migratory;Listed by AEWA;;AEWA;;;;;Yes;Larus argentatus;No;Larus argentatus;Yes;Larus argentatus;
Larus armenicus;Armenian Gull;2615;NT;NE;Larus cachinnans;Larus cachinnans;Split;;M + W;Larus cachinnans;;;;;;;Migratory;Listed by CMS and AEWA;II;AEWA;;;;;Yes;Larus armenicus;Yes;Larus armenicus;Yes;Larus armenicus;
Larus michahellis;Yellow-legged Gull;2616;LC;LC;Larus cachinnans;Larus cachinnans;Split;;N, M + W;Larus cachinnans;;;II/B *;;;* Recently split from L. cachinnans;Migratory;Listed by AEWA;;AEWA;;;;;Yes;Larus michahellis;Yes;Larus michahellis;Yes;Larus michahellis;
Larus cachinnans;Caspian Gull;2617;LC;LC;Larus cachinnans;Larus cachinnans;;;N + M + W;;;;II/B;;;;Migratory;Listed by AEWA;;AEWA;;;;;Yes;Larus cachinnans;Yes;Larus cachinnans;Yes;Larus cachinnans;
