2016 BirdLife/HBW/IUCN scientific name;2016 BirdLife/HBW/IUCN English name;Sequence;IUCN Red List (2016);EU27 Red List (2015);1999 EU list (Voous);1999 EU list (Sibley & Monroe);Reason for change (1999 vs 2015);Reason for change (2015 vs 2018);Occurrence in EU;Birds Directive synonym;Annex I ;Annex II/A;Annex II/B;Annex III/A;Annex III/B;Annex restrictions & notes;Migratory status in EU;Justification for migratory status;CMS;AEWA;Raptors MoU;AEMLAP;CITES;Council Reg. No 338/97;IOC (v.7.2) species;IOC (v.7.2) name;Clements (v.2016) species;Clements (v.2016) name;Howard & Moore (v.4) species;Howard & Moore (v.4) name;
Hippolais icterina;Icterine Warbler;7522;LC;LC;Hippolais icterina;Hippolais icterina;;;N + M;;;;;;;;Migratory;Listed by CMS and AEMLAP;II;;;AEMLAP;;;Yes;Hippolais icterina;Yes;Hippolais icterina;Yes;Hippolais icterina;
Acrocephalus paludicola;Aquatic Warbler;7525;VU;VU;Acrocephalus paludicola;Acrocephalus paludicola;;;N + M;;I;;;;;;Migratory;Listed by CMS and AEMLAP;I/II;;;AEMLAP;;;Yes;Acrocephalus paludicola;Yes;Acrocephalus paludicola;Yes;Acrocephalus paludicola;
Acrocephalus melanopogon;Moustached Warbler;7526;LC;LC;Acrocephalus melanopogon;Acrocephalus melanopogon;;;N, H + W;;I;;;;;;Migratory;Listed by CMS and AEMLAP;II;;;AEMLAP;;;Yes;Acrocephalus melanopogon;Yes;Acrocephalus melanopogon;Yes;Acrocephalus melanopogon;
Acrocephalus schoenobaenus;Sedge Warbler;7527;LC;LC;Acrocephalus schoenobaenus;Acrocephalus schoenobaenus;;;N + M;;;;;;;;Migratory;Listed by CMS and AEMLAP;II;;;AEMLAP;;;Yes;Acrocephalus schoenobaenus;Yes;Acrocephalus schoenobaenus;Yes;Acrocephalus schoenobaenus;
Acrocephalus dumetorum;Blyth's Reed-warbler;7529;LC;LC;Acrocephalus dumetorum;Acrocephalus dumetorum;;;N + M;;;;;;;;Migratory;Listed by CMS and AEMLAP;II;;;AEMLAP;;;Yes;Acrocephalus dumetorum;Yes;Acrocephalus dumetorum;Yes;Acrocephalus dumetorum;
Acrocephalus palustris;Marsh Warbler;7530;LC;LC;Acrocephalus palustris;Acrocephalus palustris;;;N + M;;;;;;;;Migratory;Listed by CMS and AEMLAP;II;;;AEMLAP;;;Yes;Acrocephalus palustris;Yes;Acrocephalus palustris;Yes;Acrocephalus palustris;
Acrocephalus scirpaceus;Common Reed-warbler;7531;LC;LC;Acrocephalus scirpaceus;Acrocephalus scirpaceus;Includes fuscus;;N + M;;;;;;;;Migratory;Listed by CMS and AEMLAP;II;;;AEMLAP;;;Yes;Acrocephalus scirpaceus;Yes;Acrocephalus scirpaceus;Yes;Acrocephalus scirpaceus;
Acrocephalus agricola;Paddyfield Warbler;7532;LC;LC;Acrocephalus agricola;Acrocephalus agricola;;;N + M;;;;;;;;Migratory;Listed by CMS and AEMLAP;II;;;AEMLAP;;;Yes;Acrocephalus agricola;Yes;Acrocephalus agricola;Yes;Acrocephalus agricola;
Acrocephalus arundinaceus;Great Reed-warbler;7542;LC;LC;Acrocephalus arundinaceus;Acrocephalus arundinaceus;;;N + M;;;;;;;;Migratory;Listed by CMS and AEMLAP;II;;;AEMLAP;;;Yes;Acrocephalus arundinaceus;Yes;Acrocephalus arundinaceus;Yes;Acrocephalus arundinaceus;
Locustella luscinioides;Savi's Warbler;7576;LC;LC;Locustella luscinioides;Locustella luscinioides;;;N + M;;;;;;;;Migratory;Listed by CMS and AEMLAP;II;;;AEMLAP;;;Yes;Locustella luscinioides;Yes;Locustella luscinioides;Yes;Locustella luscinioides;
Locustella fluviatilis;River Warbler;7577;LC;VU;Locustella fluviatilis;Locustella fluviatilis;;;N + M;;;;;;;;Migratory;Listed by CMS and AEMLAP;II;;;AEMLAP;;;Yes;Locustella fluviatilis;Yes;Locustella fluviatilis;Yes;Locustella fluviatilis;
Locustella naevia;Common Grasshopper-warbler;7581;LC;LC;Locustella naevia;Locustella naevia;;;N + M;;;;;;;;Migratory;Listed by CMS and AEMLAP;II;;;AEMLAP;;;Yes;Locustella naevia;Yes;Locustella naevia;Yes;Locustella naevia;
Delichon urbicum;Northern House Martin;7654;LC;LC;Delichon urbica;Delichon urbica;Gender agreement (David & Gosselin 2002);;N + M;;;;;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Delichon urbicum;Yes;Delichon urbicum;Yes;Delichon urbicum;
Cecropis daurica;Red-rumped Swallow;7673;LC;LC;Hirundo daurica;Hirundo daurica;;Genus change;N + M;;;;;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Cecropis daurica;Yes;Cecropis daurica;Yes;Cecropis daurica;
Hirundo rustica;Barn Swallow;7683;LC;LC;Hirundo rustica;Hirundo rustica;;;N + M;;;;;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Hirundo rustica;Yes;Hirundo rustica;Yes;Hirundo rustica;
Ptyonoprogne rupestris;Eurasian Crag Martin;7690;LC;LC;Hirundo rupestris;Hirundo rupestris;;Genus change;N, h + M;;;;;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Ptyonoprogne rupestris;Yes;Ptyonoprogne rupestris;Yes;Ptyonoprogne rupestris;
Riparia riparia;Collared Sand Martin;7702;LC;LC;Riparia riparia;Riparia riparia;;;N + M;;;;;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Riparia riparia;Yes;Riparia riparia;Yes;Riparia riparia;
Phylloscopus orientalis;Eastern Bonelli's Warbler;7892;LC;NE;Phylloscopus bonelli;Phylloscopus bonelli;;Split;N + M;;;;;;;;Migratory;Listed by CMS and (pre-split taxon by) AEMLAP;II;;;[AEMLAP];;;Yes;Phylloscopus orientalis;Yes;Phylloscopus orientalis;Yes;Rhadina orientalis;
Phylloscopus bonelli;Western Bonelli's Warbler;7893;LC;[LC];Phylloscopus bonelli;Phylloscopus bonelli;[Includes orientalis];;N + M;;;;;;;;Migratory;Listed by CMS and (pre-split taxon by) AEMLAP;II;;;[AEMLAP];;;Yes;Phylloscopus bonelli;Yes;Phylloscopus bonelli;Yes;Rhadina bonelli;
Phylloscopus sibilatrix;Wood Warbler;7894;LC;LC;Phylloscopus sibilatrix;Phylloscopus sibilatrix;;;N + M;;;;;;;;Migratory;Listed by CMS and AEMLAP;II;;;AEMLAP;;;Yes;Phylloscopus sibilatrix;Yes;Phylloscopus sibilatrix;Yes;Rhadina sibilatrix;
Phylloscopus inornatus;Yellow-browed Warbler;7897;LC;NE;Phylloscopus inornatus;Phylloscopus inornatus;;;M;;;;;;;;Migratory;Listed by CMS and AEMLAP;II;;;AEMLAP;;;Yes;Phylloscopus inornatus;Yes;Phylloscopus inornatus;Yes;Abrornis inornata;
Phylloscopus trochilus;Willow Warbler;7908;LC;LC;Phylloscopus trochilus;Phylloscopus trochilus;;;N + M;;;;;;;;Migratory;Listed by CMS and AEMLAP;II;;;AEMLAP;;;Yes;Phylloscopus trochilus;Yes;Phylloscopus trochilus;Yes;Phylloscopus trochilus;
Phylloscopus ibericus;Iberian Chiffchaff;7909;LC;LC;Phylloscopus collybita;Phylloscopus collybita;Split (includes brehmi);;N + M;;;;;;;;Migratory;Listed by CMS and AEMLAP;II;;;AEMLAP;;;Yes;Phylloscopus ibericus;Yes;Phylloscopus ibericus;Yes;Phylloscopus ibericus;
Phylloscopus collybita;Common Chiffchaff;7910;LC;LC;Phylloscopus collybita;Phylloscopus collybita;[Includes tristis];;N, H + M + W;;;;;;;;Migratory;Listed by CMS and (pre-split taxon by) AEMLAP;II;;;[AEMLAP];;;No;Phylloscopus collybita;No;Phylloscopus collybita;No;Phylloscopus collybita;
Phylloscopus tristis;Siberian Chiffchaff;7911;LC;NE;Phylloscopus collybita;Phylloscopus collybita;;Split;M + W;;;;;;;;Migratory;Listed by CMS and (pre-split taxon by) AEMLAP;II;;;[AEMLAP];;;No;Phylloscopus collybita;No;Phylloscopus collybita;No;Phylloscopus collybita;
Phylloscopus canariensis;Canary Islands Chiffchaff;7912;LC;LC;Phylloscopus collybita;Phylloscopus collybita;Split;;N, H;;;;;;;;Non-migratory;;;;;;;;Yes;Phylloscopus canariensis;Yes;Phylloscopus canariensis;Yes;Phylloscopus canariensis;
Phylloscopus trochiloides;Greenish Warbler;7944;LC;LC;Phylloscopus trochiloides;Phylloscopus trochiloides;[Includes nitidus and plumbeitarsus];;N;;;;;;;;Migratory;Listed by CMS and AEMLAP;II;;;AEMLAP;;;Yes;Phylloscopus trochiloides;Yes;Phylloscopus trochiloides;Yes;Seicercus trochiloides;
Phylloscopus borealis;Arctic Warbler;7946;LC;VU;Phylloscopus borealis;Phylloscopus borealis;;;N;;;;;;;;Migratory;Listed by CMS and AEMLAP;II;;;AEMLAP;;;Yes;Phylloscopus borealis;Yes;Phylloscopus borealis;Yes;Seicercus borealis;
Cettia cetti;Cetti's Warbler;7981;LC;LC;Cettia cetti;Cettia cetti;;;N, H;;;;;;;;Migratory;Listed by CMS and AEMLAP;II;;;AEMLAP;;;Yes;Cettia cetti;Yes;Cettia cetti;Yes;Cettia cetti;
Aegithalos caudatus;Long-tailed Tit;8018;LC;LC;Aegithalos caudatus;Aegithalos caudatus;;;N, H + W;;;;;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Aegithalos caudatus;Yes;Aegithalos caudatus;Yes;Aegithalos caudatus;
Sylvia atricapilla;Eurasian Blackcap;8021;LC;LC;Sylvia atricapilla;Sylvia atricapilla;;;N, H + M + W;;;;;;;;Migratory;Listed by CMS and AEMLAP;II;;;AEMLAP;;;Yes;Sylvia atricapilla;Yes;Sylvia atricapilla;Yes;Sylvia atricapilla;
Sylvia borin;Garden Warbler;8022;LC;LC;Sylvia borin;Sylvia borin;;;N + M;;;;;;;;Migratory;Listed by CMS and AEMLAP;II;;;AEMLAP;;;Yes;Sylvia borin;Yes;Sylvia borin;Yes;Sylvia borin;
Sylvia nisoria;Barred Warbler;8029;LC;LC;Sylvia nisoria;Sylvia nisoria;;;N + M;;I;;;;;;Migratory;Listed by CMS and AEMLAP;II;;;AEMLAP;;;Yes;Sylvia nisoria;Yes;Sylvia nisoria;Yes;Curruca nisoria;
Sylvia hortensis;Western Orphean Warbler;8034;LC;[LC];Sylvia hortensis;Sylvia hortensis;;;N + M;;;;;;;;Migratory;Listed by CMS and (pre-split taxon by) AEMLAP;II;;;[AEMLAP];;;Yes;Sylvia hortensis;Yes;Sylvia hortensis;Yes;Curruca hortensis;
Sylvia crassirostris;Eastern Orphean Warbler;8035;LC;NE;Sylvia hortensis;Sylvia hortensis;;Split;N + M;;;;;;;;Migratory;Listed by CMS and (pre-split taxon by) AEMLAP;II;;;[AEMLAP];;;Yes;Sylvia crassirostris;Yes;Sylvia crassirostris;Yes;Curruca crassirostris;
Sylvia curruca;Lesser Whitethroat;8038;LC;LC;Sylvia curruca;Sylvia curruca;;;N + M;;;;;;;;Migratory;Listed by CMS and AEMLAP;II;;;AEMLAP;;;No;Sylvia curruca;No;Sylvia curruca;Yes;Curruca curruca;
Sylvia melanothorax;Cyprus Warbler;8040;LC;LC;;;EU enlargement (Cyprus);;N;;I;;;;;;Migratory;Listed by CMS and AEMLAP;II;;;AEMLAP;;;Yes;Sylvia melanothorax;Yes;Sylvia melanothorax;Yes;Curruca melanothorax;
Sylvia melanocephala;Sardinian Warbler;8041;LC;LC;Sylvia melanocephala;Sylvia melanocephala;;;N, h + W;;;;;;;;Migratory;Listed by CMS and AEMLAP;II;;;AEMLAP;;;Yes;Sylvia melanocephala;Yes;Sylvia melanocephala;Yes;Curruca melanocephala;
Sylvia cantillans;Subalpine Warbler;8042;LC;[LC];Sylvia cantillans;Sylvia cantillans;;;N + M;;;;;;;;Migratory;Listed by CMS and AEMLAP;II;;;AEMLAP;;;Yes;Sylvia cantillans;Yes;Sylvia cantillans;No;Curruca cantillans/inornata;
Sylvia subalpina;Moltoni's Warbler;8043;LC;NE;Sylvia cantillans;Sylvia cantillans;Split;;N + M;;;;;;;;Migratory;Listed by CMS and AEMLAP;II;;;AEMLAP;;;Yes;Sylvia subalpina;Yes;Sylvia subalpina;Yes;Curruca subalpina;
Sylvia ruppeli;Rüppell's Warbler;8044;LC;LC;Sylvia rueppelli;Sylvia rueppelli;;Incorrect spelling;N + M;Sylvia rueppelli;I;;;;;;Migratory;Listed by CMS and AEMLAP;II;;;AEMLAP;;;Yes;Sylvia ruppeli;Yes;Sylvia ruppeli;Yes;Curruca ruppeli;
Sylvia communis;Common Whitethroat;8045;LC;LC;Sylvia communis;Sylvia communis;;;N + M;;;;;;;;Migratory;Listed by CMS and AEMLAP;II;;;AEMLAP;;;Yes;Sylvia communis;Yes;Sylvia communis;Yes;Curruca communis;
Sylvia conspicillata;Spectacled Warbler;8046;LC;LC;Sylvia conspicillata;Sylvia conspicillata;;;N, h;;;;;;;;Migratory;Listed by CMS and AEMLAP;II;;;AEMLAP;;;Yes;Sylvia conspicillata;Yes;Sylvia conspicillata;Yes;Curruca conspicillata;
Sylvia sarda;Marmora's Warbler;8047;LC;[LC];Sylvia sarda;Sylvia sarda;;;N, H;;I;;;;;;Migratory;Listed by CMS and (pre-split taxon by) AEMLAP;II;;;[AEMLAP];;;Yes;Sylvia sarda;Yes;Sylvia sarda;Yes;Curruca sarda;
Sylvia balearica;Balearic Warbler;8048;LC;NE;Sylvia sarda;Sylvia sarda;;Split;N, H;Sylvia sarda;I *;;;;;* Recently split from S. sarda;Non-migratory;;;;;[AEMLAP];;;Yes;Sylvia balearica;Yes;Sylvia balearica;Yes;Curruca balearica;
Sylvia undata;Dartford Warbler;8049;NT;NT;Sylvia undata;Sylvia undata;;;N, H;;I;;;;;;Non-migratory;;;;;;;;Yes;Sylvia undata;Yes;Sylvia undata;Yes;Curruca undata;
Certhia brachydactyla;Short-toed Treecreeper;8499;LC;LC;Certhia brachydactyla;Certhia brachydactyla;;;N, H;;I *;;;;;* C. b. dorotheae only;Non-migratory;;;;;;;;Yes;Certhia brachydactyla;Yes;Certhia brachydactyla;Yes;Certhia brachydactyla;
Certhia familiaris;Eurasian Treecreeper;8502;LC;LC;Certhia familiaris;Certhia familiaris;;;N, H;;;;;;;;Non-migratory;;;;;;;;Yes;Certhia familiaris;Yes;Certhia familiaris;Yes;Certhia familiaris;
Sitta europaea;Eurasian Nuthatch;8503;LC;LC;Sitta europaea;Sitta europaea;;;N, H;;;;;;;;Non-migratory;;;;;;;;Yes;Sitta europaea;Yes;Sitta europaea;Yes;Sitta europaea;
Sitta whiteheadi;Corsican Nuthatch;8515;VU;VU;Sitta whiteheadi;Sitta whiteheadi;;;N, H;;I;;;;;;Non-migratory;;;;;;;;Yes;Sitta whiteheadi;Yes;Sitta whiteheadi;Yes;Sitta whiteheadi;
Sitta krueperi;Krueper's Nuthatch;8517;LC;NT;Sitta krueperi;Sitta krueperi;;;N, H;;I;;;;;;Non-migratory;;;;;;;;Yes;Sitta krueperi;Yes;Sitta krueperi;Yes;Sitta krueperi;
Sitta neumayer;Western Rock Nuthatch;8524;LC;LC;Sitta neumayer;Sitta neumayer;;;N, H;;;;;;;;Non-migratory;;;;;;;;Yes;Sitta neumayer;Yes;Sitta neumayer;Yes;Sitta neumayer;
Tichodroma muraria;Wallcreeper;8532;LC;LC;Tichodroma muraria;Tichodroma muraria;;;N, H;;;;;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Tichodroma muraria;Yes;Tichodroma muraria;Yes;Tichodroma muraria;
Troglodytes troglodytes;Northern Wren;8563;LC;LC;Troglodytes troglodytes;Troglodytes troglodytes;;;N, H + W;;I *;;;;;* T. t. fridariensis only;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Troglodytes troglodytes;Yes;Troglodytes troglodytes;Yes;Troglodytes troglodytes;
Cinclus cinclus;White-throated Dipper;8643;LC;LC;Cinclus cinclus;Cinclus cinclus;;;N, H;;;;;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Cinclus cinclus;Yes;Cinclus cinclus;Yes;Cinclus cinclus;
Sturnus vulgaris;Common Starling;8650;LC;LC;Sturnus vulgaris;Sturnus vulgaris;;;N, H + M + W;;;;II/B;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Sturnus vulgaris;Yes;Sturnus vulgaris;Yes;Sturnus vulgaris;
Sturnus unicolor;Spotless Starling;8651;LC;LC;Sturnus unicolor;Sturnus unicolor;;;N, H;;;;;;;;Non-migratory;;;;;;;;Yes;Sturnus unicolor;Yes;Sturnus unicolor;Yes;Sturnus unicolor;
Pastor roseus;Rosy Starling;8653;LC;LC;Sturnus roseus;Sturnus roseus;;Genus change;N + M;;;;;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Pastor roseus;Yes;Pastor roseus;Yes;Pastor roseus;
Turdus viscivorus;Mistle Thrush;8905;LC;LC;Turdus viscivorus;Turdus viscivorus;;;N, H + W;;;;II/B;;;;Migratory;Listed by CMS and AEMLAP;II;;;AEMLAP;;;Yes;Turdus viscivorus;Yes;Turdus viscivorus;Yes;Turdus viscivorus;
Turdus philomelos;Song Thrush;8906;LC;LC;Turdus philomelos;Turdus philomelos;;;N, H + M + W;;;;II/B;;;;Migratory;Listed by CMS and AEMLAP;II;;;AEMLAP;;;Yes;Turdus philomelos;Yes;Turdus philomelos;Yes;Turdus philomelos;
Turdus iliacus;Redwing;8910;NT;VU;Turdus iliacus;Turdus iliacus;;;N, H + M + W;;;;II/B;;;;Migratory;Listed by CMS and AEMLAP;II;;;AEMLAP;;;Yes;Turdus iliacus;Yes;Turdus iliacus;Yes;Turdus iliacus;
Turdus merula;Eurasian Blackbird;8912;LC;LC;Turdus merula;Turdus merula;;;N, H + M + W;;;;II/B;;;;Migratory;Listed by CMS and AEMLAP;II;;;AEMLAP;;;Yes;Turdus merula;Yes;Turdus merula;Yes;Turdus merula;
Turdus pilaris;Fieldfare;8984;LC;VU;Turdus pilaris;Turdus pilaris;;;N, H + W;;;;II/B;;;;Migratory;Listed by CMS and AEMLAP;II;;;AEMLAP;;;Yes;Turdus pilaris;Yes;Turdus pilaris;Yes;Turdus pilaris;
Turdus torquatus;Ring Ouzel;8987;LC;LC;Turdus torquatus;Turdus torquatus;;;N, h + M + W;;;;;;;;Migratory;Listed by CMS and AEMLAP;II;;;AEMLAP;;;Yes;Turdus torquatus;Yes;Turdus torquatus;Yes;Turdus torquatus;
Cercotrichas galactotes;Rufous-tailed Scrub-robin;9001;LC;LC;Cercotrichas galactotes;Cercotrichas galactotes;[Genus change];Genus change;N;;;;;;;;Migratory;Listed by CMS and AEMLAP;II;;;AEMLAP;;;Yes;Cercotrichas galactotes;Yes;Cercotrichas galactotes;Yes;Cercotrichas galactotes;
Muscicapa striata;Spotted Flycatcher;9029;LC;LC;Muscicapa striata;Muscicapa striata;;;N + M;;;;;;;;Migratory;Listed by CMS and AEMLAP;II;;;AEMLAP;;;No;Muscicapa striata/tyrrhenica;Yes;Muscicapa striata;Yes;Muscicapa striata;
Erithacus rubecula;European Robin;9116;LC;LC;Erithacus rubecula;Erithacus rubecula;;;N, H + M + W;;;;;;;;Migratory;Listed by CMS and AEMLAP;II;;;AEMLAP;;;Yes;Erithacus rubecula;Yes;Erithacus rubecula;Yes;Erithacus rubecula;
Cyanecula svecica;Bluethroat;9177;LC;LC;Luscinia svecica;Luscinia svecica;;Genus change;N, h + M + W;Luscinia svecica;I;;;;;;Migratory;Listed by CMS and AEMLAP;II;;;AEMLAP;;;Yes;Luscinia svecica;Yes;Luscinia svecica;Yes;Luscinia svecica;
Luscinia luscinia;Thrush Nightingale;9178;LC;LC;Luscinia luscinia;Luscinia luscinia;;;N + M;;;;;;;;Migratory;Listed by CMS and AEMLAP;II;;;AEMLAP;;;Yes;Luscinia luscinia;Yes;Luscinia luscinia;Yes;Luscinia luscinia;
Luscinia megarhynchos;Common Nightingale;9179;LC;LC;Luscinia megarhynchos;Luscinia megarhynchos;;;N + M;;;;;;;;Migratory;Listed by CMS and AEMLAP;II;;;AEMLAP;;;Yes;Luscinia megarhynchos;Yes;Luscinia megarhynchos;Yes;Luscinia megarhynchos;
Tarsiger cyanurus;Orange-flanked Bush-robin;9191;LC;LC°°;Tarsiger cyanurus;Tarsiger cyanurus;;;N;;;;;;;;Migratory;Listed by CMS and AEMLAP;II;;;AEMLAP;;;Yes;Tarsiger cyanurus;Yes;Tarsiger cyanurus;Yes;Tarsiger cyanurus;
Ficedula parva;Red-breasted Flycatcher;9227;LC;LC;Ficedula parva;Ficedula parva;;;N + M;;I;;;;;;Migratory;Listed by CMS and AEMLAP;II;;;AEMLAP;;;Yes;Ficedula parva;Yes;Ficedula parva;Yes;Ficedula parva;
Ficedula semitorquata;Semi-collared Flycatcher;9230;LC;LC;Ficedula semitorquata;Ficedula semitorquata;;;N + M;;I;;;;;;Migratory;Listed by CMS and AEMLAP;II;;;AEMLAP;;;Yes;Ficedula semitorquata;Yes;Ficedula semitorquata;Yes;Ficedula semitorquata;
Ficedula hypoleuca;European Pied Flycatcher;9231;LC;LC;Ficedula hypoleuca;Ficedula hypoleuca;;;N + M;;;;;;;;Migratory;Listed by CMS and AEMLAP;II;;;AEMLAP;;;Yes;Ficedula hypoleuca;Yes;Ficedula hypoleuca;Yes;Ficedula hypoleuca;
Ficedula albicollis;Collared Flycatcher;9232;LC;LC;Ficedula albicollis;Ficedula albicollis;;;N + M;;I;;;;;;Migratory;Listed by CMS and AEMLAP;II;;;AEMLAP;;;Yes;Ficedula albicollis;Yes;Ficedula albicollis;Yes;Ficedula albicollis;
Phoenicurus ochruros;Black Redstart;9255;LC;LC;Phoenicurus ochruros;Phoenicurus ochruros;;;N, H + M + W;;;;;;;;Migratory;Listed by CMS and AEMLAP;II;;;AEMLAP;;;Yes;Phoenicurus ochruros;Yes;Phoenicurus ochruros;Yes;Phoenicurus ochruros;
Phoenicurus phoenicurus;Common Redstart;9256;LC;LC;Phoenicurus phoenicurus;Phoenicurus phoenicurus;;;N + M;;;;;;;;Migratory;Listed by CMS and AEMLAP;II;;;AEMLAP;;;Yes;Phoenicurus phoenicurus;Yes;Phoenicurus phoenicurus;Yes;Phoenicurus phoenicurus;
Monticola saxatilis;Rufous-tailed Rock-thrush;9269;LC;LC;Monticola saxatilis;Monticola saxatilis;;;N + M;;;;;;;;Migratory;Listed by CMS and AEMLAP;II;;;AEMLAP;;;Yes;Monticola saxatilis;Yes;Monticola saxatilis;Yes;Monticola saxatilis;
Monticola solitarius;Blue Rock-thrush;9270;LC;LC;Monticola solitarius;Monticola solitarius;;;N, H;;;;;;;;Migratory;Listed by CMS and AEMLAP;II;;;AEMLAP;;;Yes;Monticola solitarius;Yes;Monticola solitarius;Yes;Monticola solitarius;
Saxicola rubetra;Whinchat;9278;LC;LC;Saxicola rubetra;Saxicola rubetra;;;N + M;;;;;;;;Migratory;Listed by CMS and AEMLAP;II;;;AEMLAP;;;Yes;Saxicola rubetra;Yes;Saxicola rubetra;Yes;Saxicola rubetra;
Saxicola dacotiae;Fuerteventura Stonechat;9283;NT;NT;Saxicola dacotiae;Saxicola dacotiae;;;N, H;;I;;;;;;Non-migratory;;;;;;;;Yes;Saxicola dacotiae;Yes;Saxicola dacotiae;Yes;Saxicola dacotiae;
Saxicola torquatus;Common Stonechat;9284;LC;LC;Saxicola torquata;Saxicola torquata;Gender agreement (includes maurus) ;;N, H + M + W;;;;;;;;Migratory;Listed by CMS and AEMLAP;II;;;AEMLAP;;;No;Saxicola rubicola;No;Saxicola rubicola;No;Saxicola rubicola;
Oenanthe oenanthe;Northern Wheatear;9299;LC;LC;Oenanthe oenanthe;Oenanthe oenanthe;;;N + M;;;;;;;;Migratory;Listed by CMS and AEMLAP;II;;;AEMLAP;;;No;Oenanthe oenanthe;No;Oenanthe oenanthe;No;Oenanthe oenanthe;
Oenanthe isabellina;Isabelline Wheatear;9305;LC;LC;Oenanthe isabellina;Oenanthe isabellina;;;N + M;;;;;;;;Migratory;Listed by CMS and AEMLAP;II;;;AEMLAP;;;Yes;Oenanthe isabellina;Yes;Oenanthe isabellina;Yes;Oenanthe isabellina;
Oenanthe hispanica;Black-eared Wheatear;9308;LC;LC;Oenanthe hispanica;Oenanthe hispanica;Includes melanoleuca;;N + M;;;;;;;;Migratory;Listed by CMS and AEMLAP;II;;;AEMLAP;;;Yes;Oenanthe hispanica;Yes;Oenanthe hispanica;Yes;Oenanthe hispanica;
Oenanthe cypriaca;Cyprus Wheatear;9309;LC;LC;;;EU enlargement (Cyprus);;N + M;;I;;;;;;Migratory;Listed by CMS and AEMLAP;II;;;AEMLAP;;;Yes;Oenanthe cypriaca;Yes;Oenanthe cypriaca;Yes;Oenanthe cypriaca;
Oenanthe pleschanka;Pied Wheatear;9310;LC;LC;Oenanthe pleschanka;Oenanthe pleschanka;;;N + M;;I;;;;;;Migratory;Listed by CMS and AEMLAP;II;;;AEMLAP;;;Yes;Oenanthe pleschanka;Yes;Oenanthe pleschanka;Yes;Oenanthe pleschanka;
Oenanthe leucura;Black Wheatear;9320;LC;VU;Oenanthe leucura;Oenanthe leucura;;;N, H;;I;;;;;;Non-migratory;;;;;;;;Yes;Oenanthe leucura;Yes;Oenanthe leucura;Yes;Oenanthe leucura;
Oenanthe finschii;Finsch's Wheatear;9323;LC;NE;Oenanthe finschii;Oenanthe finschii;EU enlargement (Cyprus);;M + W;;;;;;;;Migratory;Listed by CMS and AEMLAP;II;;;AEMLAP;;;Yes;Oenanthe finschii;Yes;Oenanthe finschii;Yes;Oenanthe finschii;
Regulus regulus;Goldcrest;9331;LC;NT;Regulus regulus;Regulus regulus;Includes teneriffae;;N, H + W;;;;;;;;Migratory;Listed by CMS and AEMLAP;II;;;AEMLAP;;;Yes;Regulus regulus;Yes;Regulus regulus;Yes;Regulus regulus;
Regulus madeirensis;Madeira Firecrest;9332;LC;LC;Regulus ignicapilla;Regulus ignicapilla;Split;;N, H;;;;;;;;Non-migratory;;;;;;;;Yes;Regulus madeirensis;No;Regulus ignicapilla;Yes;Regulus madeirensis;
Regulus ignicapilla;Common Firecrest;9333;LC;LC;Regulus ignicapillus;Regulus ignicapillus;Gender agreement (David & Gosselin 2002);;N, H + W;;;;;;;;Migratory;Listed by CMS and AEMLAP;II;;;AEMLAP;;;Yes;Regulus ignicapilla;No;Regulus ignicapilla;Yes;Regulus ignicapilla;
Bombycilla garrulus;Bohemian Waxwing;9338;LC;LC;Bombycilla garrulus;Bombycilla garrulus;;;N, H + W;;;;;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Bombycilla garrulus;Yes;Bombycilla garrulus;Yes;Bombycilla garrulus;
Prunella collaris;Alpine Accentor;9574;LC;LC;Prunella collaris;Prunella collaris;;;N, H;;;;;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Prunella collaris;Yes;Prunella collaris;Yes;Prunella collaris;
Prunella modularis;Dunnock;9582;LC;LC;Prunella modularis;Prunella modularis;;;N, H + W;;;;;;;;Migratory;Listed by AEMLAP;;;;AEMLAP;;;Yes;Prunella modularis;Yes;Prunella modularis;Yes;Prunella modularis;
Passer domesticus;House Sparrow;9874;LC;[LC];Passer domesticus;Passer domesticus;;;N, H;;;;;;;;Non-migratory;;;;;;;;Yes;Passer domesticus;Yes;Passer domesticus;Yes;Passer domesticus;
Passer italiae;Italian Sparrow;9875;LC;NE;Passer italiae;Passer italiae;Split;;N, H;;;;;;;;Non-migratory;;;;;;;;Yes;Passer italiae;Yes;Passer italiae;Yes;Passer italiae;
