"country","region","region_orig","regionhash","speciescode","speciesname","assessment_speciescode","assessment_speciesname","tax_group","presence","annex_II_priority","annex_II","annex_IV","annex_V","comments_annex_II","comments_annex_IV","comments_annex_V"
"FR","ALP","ALP","f9f08d51b5daac5465054eee8deb10f1",1058,"Maculinea arion",1058,"Maculinea arion","Arthropods","1","N","N","Y","N","","",""
"HU","PAN","PAN","f9fd1ae65bc1a8cb22bd8c137d0a4f44",4032,"Dioszeghyana schmidtii",4032,"Dioszeghyana schmidtii","Arthropods","1","N","Y","Y","N","","",""
"CY","MED","MED","f9fe99d0674bcf78ac14a8e51e70937d",1078,"Callimorpha quadripunctaria",1078,"Callimorpha quadripunctaria","Arthropods","1","Y","Y","N","N","","",""
"ES","ALP","ALP","fa4893d55d7cd3451b6c8fd3b73b794e",1057,"Parnassius apollo",1057,"Parnassius apollo","Arthropods","1","N","N","Y","N","","",""
"BG","BLS","BLS","fa5075eb7352a876d6a7f6fc39731319",4028,"Catopta thrips",4028,"Catopta thrips","Arthropods","1","N","Y","Y","N","","",""
"BG","MBLS","MBLS","fa6ebaf5dea2dda09fb6fc6b74fed1bd",1350,"Delphinus delphis",1350,"Delphinus delphis","Mammals","1","N","N","Y-HTL","N","","",""
"RO","CON","CON","fa6f3512c39f3ec011621a25112555d5",4046,"Cordulegaster heros",4046,"Cordulegaster heros","Arthropods","1","N","Y","Y","N","","",""
"SK","PAN","PAN","fa72edbffdf3e17ed789620c613164ce",1074,"Eriogaster catax",1074,"Eriogaster catax","Arthropods","1","N","Y","Y","N","","",""
"IT","MMED","MMED","fa73e9bbbae09069828f75b3bbd41eae",1028,"Pinna nobilis",1028,"Pinna nobilis","Molluscs","1","N","N","Y","N","","",""
"CZ","CON","CON","fa8ac2f3d96dd47483963cffcffa6ce5",1040,"Stylurus flavipes",1040,"Stylurus flavipes","Arthropods","1","N","N","Y","N","","",""
"RO","PAN","PAN","fa8fb1e7d2fe2d92b39ad98fd26e76fd",1059,"Maculinea teleius",1059,"Maculinea teleius","Arthropods","1","N","Y","Y","N","","",""
"IT","CON","CON","faa9950616492d1aee0cb64626c2602c",1206,"Rana italica",1206,"Rana italica","Amphibians","1","N","N","Y","N","","",""
"IT","CON","CON","fb0000736e08d8992063aa8f9a5cd50d",1333,"Tadarida teniotis",1333,"Tadarida teniotis","Mammals","1","N","N","Y-HTL","N","","",""
"IT","CON","CON","fb02ce0efe4c35e3feb0df2a4f813c55",1903,"Liparis loeselii",1903,"Liparis loeselii","Vascular plants","1","N","Y","Y","N","","",""
"HU","PAN","PAN","fb0821bc4e620bf45e40d3f32fbd2d6c",1138,"Barbus meridionalis",1138,"Barbus meridionalis","Fish","1","N","Y","N","Y","","",""
"IT","MED","MED","fb36e93746e210c4dffcc07d331614b6",1468,"Dianthus rupicola",1468,"Dianthus rupicola","Vascular plants","1","N","Y","Y","N","","",""
"HU","PAN","PAN","fb57e9c7c2a6cc8957ead25914599950",2011,"Umbra krameri",2011,"Umbra krameri","Fish","1","N","Y","N","N","","",""
"PL","ALP","ALP","",4021,"Phryganophilus ruficollis",4021,"Phryganophilus ruficollis","Arthropods","PEX","Y","Y","Y","N","","",""
"PT","MED","MED","",1635,"Armeria velutina",1635,"Armeria velutina","Vascular plants","PEX","N","Y","Y","N","","",""
"PT","MED","MED","",1712,"Euphrasia mendoncae",1712,"Euphrasia mendoncae","Vascular plants","N/SR TAX","N","N","N","Y","","",""
"IT","MED","MED","",1137,"Barbus plebejus",1137,"Barbus plebejus","Fish","MAR","N","Y","N","Y","","",""
"ES","ALP","ALP","",1076,"Proserpinus proserpina",1076,"Proserpinus proserpina","Arthropods","MAR","N","N","Y","N","","",""
"BE","CON","CON","",1381,"Dicranum viride",1381,"Dicranum viride","Non-vascular plants","PEX","N","Y","N","N","","",""
"DK","ATL","ATL","",1528,"Saxifraga hirculus",1528,"Saxifraga hirculus","Vascular plants","PEX","N","Y","Y","N","","",""
"PL","ALP","ALP","",1389,"Meesia longiseta",1389,"Meesia longiseta","Non-vascular plants","PEX","N","Y","N","N","","",""
"DK","CON","CON","",1383,"Dichelyma capillaceum",1383,"Dichelyma capillaceum","Non-vascular plants","PEX","N","Y","N","N","","",""
"AT","ALP","ALP","",4030,"Colias myrmidone",4030,"Colias myrmidone","Arthropods","PEX","N","Y","Y","N","","",""
"FR","CON","CON","",1334,"Lepus timidus",1334,"Lepus timidus","Mammals","MAR","N","N","N","Y","","",""
"DE","ALP","ALP","",6169,"Euphydryas maturna",1052,"Hypodryas maturna","Arthropods","PEX","N","Y","Y-CTC","N","","",""
"FR","MED","MED","",1354,"Ursus arctos",1354,"Ursus arctos","Mammals","MAR","Y","Y","Y","N","Annex II : except the Estonian, Finnish, and Swedish populations","",""
"DK","CON","CON","",4056,"Anisus vorticulus",4056,"Anisus vorticulus","Molluscs","PEX","N","Y","Y","N","","",""
"RO","BLS","BLS","",4045,"Coenagrion ornatum",4045,"Coenagrion ornatum","Arthropods","SR","N","Y","N","N","","",""
"DK","CON","CON","",1389,"Meesia longiseta",1389,"Meesia longiseta","Non-vascular plants","PEX","N","Y","N","N","","",""
"DK","CON","CON","",1220,"Emys orbicularis",1220,"Emys orbicularis","Reptiles","PEX","N","Y","Y","N","","",""
"FR","ATL","ATL","",1173,"Euproctus asper",1173,"Euproctus asper","Amphibians","MAR","N","N","Y","N","","",""
"BE","CON","CON","",1106,"Salmo salar",1106,"Salmo salar","Fish","PEX","N","Y","N","Y","Annex II : except the Finnish populations","",""
"PT","ATL","ATL","",5302,"Cobitis paludica",5302,"Cobitis paludica","Fish","MAR","N","Y-CTC","N","N","Annex II : except the Finnish populations","",""
"AT","CON","CON","",5289,"Alburnus mento",5289,"Alburnus mento","Fish","MAR","N","Y-CTC","N","N","","",""
"FR","CON","CON","",1050,"Saga pedo",1050,"Saga pedo","Arthropods","MAR","N","N","Y","N","","",""
"FR","CON","CON","",5012,"Plecotus macrobullaris",5012,"Plecotus macrobullaris","Mammals","MAR","N","N","Y-HTL","N","","",""
"IT","CON","CON","",1355,"Lutra lutra",1355,"Lutra lutra","Mammals","MAR","N","Y","Y","N","","",""
"PT","MAC","MAC","",1333,"Tadarida teniotis",1333,"Tadarida teniotis","Mammals","PEX","N","N","Y-HTL","N","","",""
"BE","CON","CON","",1332,"Vespertilio murinus",1332,"Vespertilio murinus","Mammals","SR","N","N","Y-HTL","N","","",""
"PT","MED","MED","",1543,"Astragalus algarbiensis",1543,"Astragalus algarbiensis","Vascular plants","PEX","Y","Y","Y","N","","",""
"SK","PAN","PAN","",1071,"Coenonympha oedippus",1071,"Coenonympha oedippus","Arthropods","PEX","N","Y","Y","N","","",""
"DE","ATL","ATL","",1356,"Mustela lutreola",1356,"Mustela lutreola","Mammals","PEX","Y","Y","Y","N","","",""
"FR","MED","MED","",1313,"Eptesicus nilssonii",1313,"Eptesicus nilssonii","Mammals","MAR","N","N","Y-HTL","N","","",""
"PT","ATL","ATL","",1101,"Acipenser sturio",1101,"Acipenser sturio","Fish","PEX","Y","Y","Y","N","","",""
"AT","CON","CON","",4063,"Sadleriana pannonica",4063,"Sadleriana pannonica","Molluscs","PEX","N","Y","Y","N","","",""
"SK","ALP","ALP","",1389,"Meesia longiseta",1389,"Meesia longiseta","Non-vascular plants","PEX","N","Y","N","N","","",""
"DK","ATL","ATL","",1058,"Maculinea arion",1058,"Maculinea arion","Arthropods","PEX","N","N","Y","N","","",""
"DK","MATL","MATL","",2027,"Orcinus orca",2027,"Orcinus orca","Mammals","SR","N","N","Y-HTL","N","","",""
"SK","ALP","ALP","",1356,"Mustela lutreola",1356,"Mustela lutreola","Mammals","PEX","Y","Y","Y","N","","",""
"SK","ALP","ALP","",1106,"Salmo salar",1106,"Salmo salar","Fish","PEX","N","Y","N","Y","Annex II : except the Finnish populations","",""
"FR","ALP","ALP","",1053,"Zerynthia polyxena",1053,"Zerynthia polyxena","Arthropods","MAR","N","N","Y","N","","",""
"SK","PAN","PAN","",2489,"Huso huso",2489,"Huso huso","Fish","PEX","N","N","N","Y-HTL","","",""
"BG","CON","CON","",4030,"Colias myrmidone",4030,"Colias myrmidone","Arthropods","SR","N","Y","Y","N","","",""
"DE","ATL","ATL","",6169,"Euphydryas maturna",1052,"Hypodryas maturna","Arthropods","PEX","N","Y","Y-CTC","N","","",""
"BE","MATL","MATL","",1349,"Tursiops truncatus",1349,"Tursiops truncatus","Mammals","OCC","N","Y","Y","N","","",""
"SK","PAN","PAN","",1038,"Leucorrhinia albifrons",1038,"Leucorrhinia albifrons","Arthropods","PEX","N","N","Y","N","","",""
"DK","CON","CON","",1283,"Coronella austriaca",1283,"Coronella austriaca","Reptiles","PEX","N","N","Y","N","","",""
"ES","ATL","ATL","",1221,"Mauremys leprosa",1221,"Mauremys leprosa","Reptiles","MAR","N","Y","Y","N","","",""
"IT","MED","MED","",1334,"Lepus timidus",1334,"Lepus timidus","Mammals","MAR","N","N","N","Y","","",""
"PL","CON","CON","",1087,"Rosalia alpina",1087,"Rosalia alpina","Arthropods","PEX","Y","Y","Y","N","","",""
"BG","ALP","ALP","",5263,"Barbus strumicae",5263,"Barbus strumicae","Fish","N/SR TAX","N","Y-CTC","N","Y-CTC","","",""
"DK","MBAL","MBAL","",1350,"Delphinus delphis",1350,"Delphinus delphis","Mammals","SR","N","N","Y-HTL","N","","",""
"AT","ALP","ALP","",1074,"Eriogaster catax",1074,"Eriogaster catax","Arthropods","PEX","N","Y","Y","N","","",""
"BG","CON","CON","",5290,"Alburnus schischkovi",5290,"Alburnus schischkovi","Fish","SR","N","Y-CTC","N","N","","",""
"DK","CON","CON","",1324,"Myotis myotis",1324,"Myotis myotis","Mammals","SR","N","Y","Y","N","","",""
"DK","CON","CON","",1056,"Parnassius mnemosyne",1056,"Parnassius mnemosyne","Arthropods","PEX","N","N","Y","N","","",""
"CZ","CON","CON","",4013,"Carabus hungaricus",4013,"Carabus hungaricus","Arthropods","PEX","N","Y","Y","N","","",""
"DE","CON","CON","2e8711c964a3df12fc1845f2cf392bc5",1329,"Plecotus austriacus",1329,"Plecotus austriacus","Mammals","1","N","N","Y-HTL","N","","",""
"LU","CON","CON","2e931d55923eefc7dadbc8ddad2ecb45",1202,"Bufo calamita",1202,"Bufo calamita","Amphibians","1","N","N","Y","N","","",""
"LU","CON","CON","2e987505b3e61f8f96111061c68e3f8b",1213,"Rana temporaria",1213,"Rana temporaria","Amphibians","1","N","N","N","Y","","",""
"ES","MED","MED","2e99353564f62aa5151a0ab869bfe5fc",1581,"Kosteletzkya pentacarpos",1581,"Kosteletzkya pentacarpos","Vascular plants","1","N","Y","Y","N","","",""
"ES","MED","MED","2ebd57317e2b2aec6e135e32d01056bf",1265,"Podarcis lilfordi",1265,"Podarcis lilfordi","Reptiles","1","N","Y","Y","N","","",""
"ES","MATL","MATL","2ec2aba58f7f478227bafd3372c5f4fc",2621,"Balaenoptera physalus",2621,"Balaenoptera physalus","Mammals","1","N","N","Y-HTL","N","","",""
"IT","MED","MED","2ed426ba93b4bf95f7177676f3d35a29",1055,"Papilio hospiton",1055,"Papilio hospiton","Arthropods","1","N","Y","Y","N","","",""
"UK","ATL","ATL","2f3fb8c0aa3ee6a6605ec03f1b1d3553",1079,"Limoniscus violaceus",1079,"Limoniscus violaceus","Arthropods","1","N","Y","N","N","","",""
"PT","ATL","ATL","2f452918fe8c45224890d43137e07659",1330,"Myotis mystacinus",1330,"Myotis mystacinus","Mammals","1","N","N","Y-HTL","N","","",""
"DK","ATL","ATL","2f6ce1725fe3827620a41137cab6347b",1261,"Lacerta agilis",1261,"Lacerta agilis","Reptiles","1","N","N","Y","N","","",""
"FR","CON","CON","2f7d8126d92d0718ec2d73cc21c33cbf",1332,"Vespertilio murinus",1332,"Vespertilio murinus","Mammals","1","N","N","Y-HTL","N","","",""
"HU","PAN","PAN","2f871abbba920c2071b7a4daeeb81cf7",1263,"Lacerta viridis",1263,"Lacerta viridis","Reptiles","1","N","N","Y","N","","",""
"BG","ALP","ALP","3622a73e44b189caa33c6660fa42359e",1219,"Testudo graeca",1219,"Testudo graeca","Reptiles","1","N","Y","Y","N","","",""
"IT","MED","MED","3626142a8b7235a60a8ec4f9b8622e24",1086,"Cucujus cinnaberinus",1086,"Cucujus cinnaberinus","Arthropods","1","N","Y","Y","N","","",""
"FR","CON","CON","3636747f2e34070f7d4c8caa8d05e12c",5377,"Carabus (variolosus) nodulosus",5377,"Carabus (variolosus) nodulosus","Arthropods","LR","N","Y-CTC","Y-CTC","N","","",""
"FR","CON","CON","3643644ac5e8c1e6cfc513c42873b09e",1095,"Petromyzon marinus",1095,"Petromyzon marinus","Fish","1","N","Y","N","N","Annex II : except the Swedish populations","",""
"HU","PAN","PAN","364a852dae59e8ce7cf01c5fdf78126f",1032,"Unio crassus",1032,"Unio crassus","Molluscs","1","N","Y","Y","N","","",""
"PT","MAC","MAC","364e4773bf70a556771532e6c732c784",1442,"Rumex azoricus",1442,"Rumex azoricus","Vascular plants","1","N","Y","Y","N","","",""
"FR","CON","CON","365cc0e5df0239984a3517fae9bceafd",1201,"Bufo viridis",1201,"Bufo viridis","Amphibians","1","N","N","Y","N","","",""
"RO","PAN","PAN","367a2c25e66bcf831cf4bba79438137b",1134,"Rhodeus sericeus amarus",1134,"Rhodeus sericeus amarus","Fish","1","N","Y","N","N","","",""
"RO","STE","STE","367c5123e1294eace1bd458ed2090727",1145,"Misgurnus fossilis",1145,"Misgurnus fossilis","Fish","1","N","Y","N","N","","",""
"DE","ATL","ATL","3691a68fd18425b2fe01ac3a7a7f1dba",1014,"Vertigo angustior",1014,"Vertigo angustior","Molluscs","1","N","Y","N","N","","",""
"PT","MED","MED","36c1d6d43dd83dc1570dfb75bc8bc4f0",1192,"Alytes cisternasii",1192,"Alytes cisternasii","Amphibians","1","N","N","Y","N","","",""
"SK","PAN","PAN","36c46174f66afa5ef2be07d649bfb005",4063,"Sadleriana pannonica",4063,"Sadleriana pannonica","Molluscs","1","N","Y","Y","N","","",""
"PT","MAC","MAC","36cf6f9fcd6fb9478640ca0810733772",1702,"Teucrium betonicum",1702,"Teucrium betonicum","Vascular plants","1","N","Y","Y","N","","",""
"EE","MBAL","MBAL","36f2f52921b0dbde4ce089d4fc362348",1364,"Halichoerus grypus",1364,"Halichoerus grypus","Mammals","1","N","Y","N","Y","","",""
"IT","MED","MED","36f60f957e74a1ce59c60c26e0cee404",1190,"Discoglossus sardus",1190,"Discoglossus sardus","Amphibians","1","N","Y","Y","N","","",""
"SI","CON","CON","37015fdf34d013efa519d753a436a5fd",4030,"Colias myrmidone",4030,"Colias myrmidone","Arthropods","1","N","Y","Y","N","","",""
"UK","ATL","ATL","3702b30b75307b275004769a36e35a43",1441,"Rumex rupestris",1441,"Rumex rupestris","Vascular plants","1","N","Y","Y","N","","",""
"RO","ALP","ALP","3703fc0fde5db8bcff223a5cf938ecd5",1263,"Lacerta viridis",1263,"Lacerta viridis","Reptiles","1","N","N","Y","N","","",""
"FI","ALP","ALP","371bd36ec83336759c3032a88636ead1",1911,"Alopex lagopus",1911,"Alopex lagopus","Mammals","1","Y","Y","Y","N","","",""
"IT","CON","CON","3738e00790aedac31e427c90aaa26a66",1329,"Plecotus austriacus",1329,"Plecotus austriacus","Mammals","1","N","N","Y-HTL","N","","",""
"IT","MMED","MMED","373dda780bea3ebfec82313ff5e259e2",2029,"Globicephala melas",2029,"Globicephala melas","Mammals","1","N","N","Y-HTL","N","","",""
"ES","ATL","ATL","373ded2220d7855374da63ffafa755d9",1322,"Myotis nattereri",1322,"Myotis nattereri","Mammals","1","N","N","Y-HTL","N","","",""
"EE","BOR","BOR","374614bdb9d846244dc77fe6bec82b1c",1920,"Boros schneideri",1920,"Boros schneideri","Arthropods","1","N","Y","N","N","","",""
"PT","MAC","MAC","374a51170ad7676124f282e0770555cf",1021,"Leiostyla lamellosa",1021,"Leiostyla lamellosa","Molluscs","PEX","N","Y","Y","N","","",""
"AT","CON","CON","3787a75009a0f945e3f6b9fc9f1d4c72",1381,"Dicranum viride",1381,"Dicranum viride","Non-vascular plants","1","N","Y","N","N","","",""
"SK","PAN","PAN","379d5c7f2ae311e576b88ab7033e61cd",4004,"Microtus oeconomus mehelyi",4004,"Microtus oeconomus mehelyi","Mammals","1","Y","Y","Y","N","","",""
"PT","MED","MED","38124ae6cc6f89d2b601bc37d43f6ff3",2016,"Pipistrellus kuhlii",2016,"Pipistrellus kuhlii","Mammals","1","N","N","Y-HTL","N","","",""
"BG","CON","CON","383a14c4328d6c8b7d7c3b961ff9df26",1993,"Triturus dobrogicus",1993,"Triturus dobrogicus","Amphibians","1","N","Y","N","N","","",""
"BG","BLS","BLS","386b678a4cb3d9fdd7de92e8f754a73b",2125,"Potentilla emilii-popii",2125,"Potentilla emilii-popii","Vascular plants","1","N","Y","Y","N","","",""
"FR","ATL","ATL","38ad6e4fd98cd816a275471d5c5540c7",1203,"Hyla arborea",1203,"Hyla arborea","Amphibians","1","N","N","Y","N","","",""
"FR","MED","MED","38b055fa4a95546aeba512f18a787cc9",1281,"Elaphe longissima",1281,"Elaphe longissima","Reptiles","1","N","N","Y","N","","",""
"SI","ALP","ALP","38c52e47fa3a248c4b9c01fd43ce05e2",1091,"Astacus astacus",1091,"Astacus astacus","Arthropods","1","N","N","N","Y","","",""
"DE","ATL","ATL","38d03dd381cca05d25ecb7b3b2f49018",1210,"Rana esculenta",1210,"Rana esculenta","Amphibians","1","N","N","N","Y","","",""
"RO","PAN","PAN","38d6a8db9ae0bf4cd20715a3c7c846c5",1263,"Lacerta viridis",1263,"Lacerta viridis","Reptiles","1","N","N","Y","N","","",""
"PL","CON","CON","38d7cffcc2ca3affe705397ccdd1bcb3",1308,"Barbastella barbastellus",1308,"Barbastella barbastellus","Mammals","1","N","Y","Y","N","","",""
"MT","MED","MED","38e1af1d9eb4aefc79b3bfc9408edc97",1329,"Plecotus austriacus",1329,"Plecotus austriacus","Mammals","1","N","N","Y-HTL","N","","",""
"FR","ALP","ALP","38e9f14a22331715c7997351d5b65d64",1357,"Martes martes",1357,"Martes martes","Mammals","1","N","N","N","Y","","",""
"BE","CON","CON","38f6236e38e0bf3ce91948c194e4e0a4",1409,"Sphagnum spp.",1409,"Sphagnum spp.","Non-vascular plants","1","N","N","N","Y","","",""
"RO","ALP","ALP","3919e8381cc7a1e1034e51ffbc77e3e3",1657,"Gentiana lutea",1657,"Gentiana lutea","Vascular plants","1","N","N","N","Y","","",""
"IT","MMED","MMED","391c5d497118aab7f49ad419c9074254",1090,"Scyllarides latus",1090,"Scyllarides latus","Arthropods","1","N","N","N","Y","","",""
"LV","BOR","BOR","39216c97ff537eca82be16ed4e4e96f1",1261,"Lacerta agilis",1261,"Lacerta agilis","Reptiles","1","N","N","Y","N","","",""
"PL","CON","CON","392e1e7b8cbf05bfad1f1c3739f385c0",1361,"Lynx lynx",1361,"Lynx lynx","Mammals","1","N","Y","Y","N","Annex II : except the Estonian, Latvian and Finnish populations","Annex IV : except the Estonian population","Annex V : Estonian population"
"DE","ALP","ALP","39337458c12408565c4da49a827f5105",6353,"Coregonus lavaretus Complex",2494,"Coregonus lavaretus","Fish","1","N","N","N","Y-HTL","","",""
"RO","ALP","ALP","394a1aaad9e3f7bd2cddc78c361b0ad4",1203,"Hyla arborea",1203,"Hyla arborea","Amphibians","1","N","N","Y","N","","",""
"DE","ALP","ALP","394c77e05df8e54ca8fd9d2a3faf70bc",1386,"Buxbaumia viridis",1386,"Buxbaumia viridis","Non-vascular plants","1","N","Y","N","N","","",""
"UK","MED","MED","395d20aa7af4206f34c2e5f2212fcdd5",1324,"Myotis myotis",1324,"Myotis myotis","Mammals","PEX","N","Y","Y","N","","",""
"EE","BOR","BOR","39870aecad074a27235f181228982b94",1413,"Lycopodium spp.",1413,"Lycopodium spp.","Vascular plants","1","N","N","N","Y","","",""
"RO","PAN","PAN","3988c388f50573e116a1686edce7b008",2633,"Mustela eversmanii",2633,"Mustela eversmanii","Mammals","1","N","Y","Y","N","","",""
"IT","MED","MED","399e357db4dc4e5d3afbd88a676bb70d",1516,"Aldrovanda vesiculosa",1516,"Aldrovanda vesiculosa","Vascular plants","EX","N","Y","Y","N","","",""
"SI","CON","CON","39a8142a14f13d6ce36b42487524ce02",4066,"Asplenium adulterinum",4066,"Asplenium adulterinum","Vascular plants","1","N","Y","Y","N","","",""
"PL","CON","CON","39b9897e6f08401885649603c1e97362",1220,"Emys orbicularis",1220,"Emys orbicularis","Reptiles","1","N","Y","Y","N","","",""
"ES","ALP","ALP","39ccda252e9e097cfd4ec00654d18f50",1058,"Maculinea arion",1058,"Maculinea arion","Arthropods","1","N","N","Y","N","","",""
"FR","ALP","ALP","39e32556e2b5d3e2de3f6e8fd0911fa2",1304,"Rhinolophus ferrumequinum",1304,"Rhinolophus ferrumequinum","Mammals","1","N","Y","Y","N","","",""
"SK","PAN","PAN","39e66c09992345560824d822ad495d1b",1056,"Parnassius mnemosyne",1056,"Parnassius mnemosyne","Arthropods","1","N","N","Y","N","","",""
"DE","ATL","ATL","39e89243a9357ed0e6299ca6124db6d0",1106,"Salmo salar",1106,"Salmo salar","Fish","1","N","Y","N","Y","Annex II : except the Finnish populations","",""
"SI","ALP","ALP","39fca2c23818ce8dcf283d7595d01c1d",1316,"Myotis capaccinii",1316,"Myotis capaccinii","Mammals","1","N","Y","Y","N","","",""
"SK","PAN","PAN","3a2365c4faf7f179e0d0b4ea39429c99",4032,"Dioszeghyana schmidtii",4032,"Dioszeghyana schmidtii","Arthropods","1","N","Y","Y","N","","",""
"IT","CON","CON","",1374,"Rupicapra pyrenaica ornata",1374,"Rupicapra pyrenaica ornata","Mammals","MAR","Y","Y","Y","N","","",""
"PT","MED","MED","",1391,"Riella helicophylla",1391,"Riella helicophylla","Non-vascular plants","PEX","N","Y","N","N","","",""
"IT","MED","MED","",1374,"Rupicapra pyrenaica ornata",1374,"Rupicapra pyrenaica ornata","Mammals","MAR","Y","Y","Y","N","","",""
"ES","ALP","ALP","",1174,"Triturus marmoratus",1174,"Triturus marmoratus","Amphibians","MAR","N","N","Y","N","","",""
"IT","ALP","ALP","",1071,"Coenonympha oedippus",1071,"Coenonympha oedippus","Arthropods","MAR","N","Y","Y","N","","",""
"DK","CON","CON","",1035,"Leucorrhinia caudalis",1035,"Leucorrhinia caudalis","Arthropods","PEX","N","N","Y","N","","",""
"DK","CON","CON","",1083,"Lucanus cervus",1083,"Lucanus cervus","Arthropods","PEX","N","Y","N","N","","",""
"DK","ATL","ATL","",1220,"Emys orbicularis",1220,"Emys orbicularis","Reptiles","PEX","N","Y","Y","N","","",""
"SK","PAN","PAN","",1516,"Aldrovanda vesiculosa",1516,"Aldrovanda vesiculosa","Vascular plants","PEX","N","Y","Y","N","","",""
"IT","ALP","ALP","",1751,"Campanula sabatia",1751,"Campanula sabatia","Vascular plants","MAR","Y","Y","Y","N","","",""
"RO","BLS","BLS","",4053,"Paracaloptenus caloptenoides",4053,"Paracaloptenus caloptenoides","Arthropods","1","N","Y","Y","N","","",""
"DK","MBAL","MBAL","",2621,"Balaenoptera physalus",2621,"Balaenoptera physalus","Mammals","SR","N","N","Y-HTL","N","","",""
"DE","CON","CON","",1015,"Vertigo genesii",1015,"Vertigo genesii","Molluscs","PEX","N","Y","N","N","","",""
"DK","MATL","MATL","",1350,"Delphinus delphis",1350,"Delphinus delphis","Mammals","SR","N","N","Y-HTL","N","","",""
"IT","MED","MED","",1443,"Salicornia veneta",1443,"Salicornia veneta","Vascular plants","MAR","Y","Y","Y","N","","",""
"FR","ALP","ALP","",1050,"Saga pedo",1050,"Saga pedo","Arthropods","MAR","N","N","Y","N","","",""
"ES","ALP","ALP","",1220,"Emys orbicularis",1220,"Emys orbicularis","Reptiles","MAR","N","Y","Y","N","","",""
"SK","PAN","PAN","",1166,"Triturus cristatus",1166,"Triturus cristatus","Amphibians","SR","N","Y","Y","N","","",""
"NL","ATL","ATL","00258701864f8a0e78e06b1be0d87345",1361,"Lynx lynx",1361,"Lynx lynx","Mammals","OCC","N","Y","Y","N","Annex II : except the Estonian, Latvian and Finnish populations","Annex IV : except the Estonian population","Annex V : Estonian population"
"PT","MED","MED","00280b5bf65de681398af563bc284f35",1788,"Leuzea longifolia",1788,"Leuzea longifolia","Vascular plants","1","N","Y","Y","N","","",""
"RO","PAN","PAN","0035823ebf1de02a4adfa228e4ddfad3",1725,"Lindernia procumbens",1725,"Lindernia procumbens","Vascular plants","1","N","N","Y","N","","",""
"SI","CON","CON","003abcb988207fbaf078f80f38d63e4d",4104,"Himantoglossum adriaticum",4104,"Himantoglossum adriaticum","Vascular plants","1","N","Y","Y","N","","",""
"NL","MATL","MATL","005504a010a6e7bc456cfdbe724eb593",2621,"Balaenoptera physalus",2621,"Balaenoptera physalus","Mammals","OCC","N","N","Y-HTL","N","","",""
"SK","PAN","PAN","006792627bafef3db6198499efc337d3",2484,"Eudontomyzon mariae",2484,"Eudontomyzon mariae","Fish","1","N","Y-HTL","N","N","","",""
"LV","BOR","BOR","006ad34cb06e128867ff8e3babbf1944",1308,"Barbastella barbastellus",1308,"Barbastella barbastellus","Mammals","1","N","Y","Y","N","","",""
"PT","MED","MED","007729f9daa23390de739f4796caa1a6",1507,"Arabis sadina",1507,"Arabis sadina","Vascular plants","1","N","Y","Y","N","","",""
"AT","ALP","ALP","00abe576924fefe53c59f06a34f98b4f",1042,"Leucorrhinia pectoralis",1042,"Leucorrhinia pectoralis","Arthropods","1","N","Y","Y","N","","",""
"BG","CON","CON","2f8a8bd2c6ca55fca221f96e5070ccf1",4028,"Catopta thrips",4028,"Catopta thrips","Arthropods","1","N","Y","Y","N","","",""
"BG","BLS","BLS","2f8bc104c569a147c5ec750e0d3e81db",1263,"Lacerta viridis",1263,"Lacerta viridis","Reptiles","1","N","N","Y","N","","",""
"SI","CON","CON","2fba9121861e898a9f6e68c50ddf59e5",1279,"Elaphe quatuorlineata",1279,"Elaphe quatuorlineata","Reptiles","1","N","Y","Y","N","","",""
"ES","MED","MED","2fc53f6a7d1d4b14609909e500cba4fb",1902,"Cypripedium calceolus",1902,"Cypripedium calceolus","Vascular plants","1","N","Y","Y","N","","",""
"FR","ALP","ALP","2fe9439626d4967880d6c36653583a19",1317,"Pipistrellus nathusii",1317,"Pipistrellus nathusii","Mammals","1","N","N","Y-HTL","N","","",""
"DE","CON","CON","3013e26f3cd6d42cd065434c6bc8fcf2",1201,"Bufo viridis",1201,"Bufo viridis","Amphibians","1","N","N","Y","N","","",""
"SI","CON","CON","307436d92510c06b70b49eb5bd3347e5",1146,"Sabanejewia aurata",1146,"Sabanejewia aurata","Fish","1","N","Y","N","N","","",""
"RO","PAN","PAN","307c848c261e5ec1cfc873b0687f9863",2011,"Umbra krameri",2011,"Umbra krameri","Fish","1","N","Y","N","N","","",""
"RO","CON","CON","30a5f6b49c2adad6cd3ac0e9e91c676c",1078,"Callimorpha quadripunctaria",1078,"Callimorpha quadripunctaria","Arthropods","1","Y","Y","N","N","","",""
"LV","BOR","BOR","30c6f5e867e336f65c9a0e3ac4d8c767",1037,"Ophiogomphus cecilia",1037,"Ophiogomphus cecilia","Arthropods","1","N","Y","Y","N","","",""
"CZ","PAN","PAN","30c886f57156bbddcda128e246d8045e",1335,"Spermophilus citellus",1335,"Spermophilus citellus","Mammals","1","N","Y","Y","N","","",""
"SK","PAN","PAN","30c9798164a0e0fb6d1a0fb89efb5c54",5345,"Rutilus virgo",5345,"Rutilus virgo","Fish","1","N","Y-CTC","N","Y-CTC","","",""
"PT","MAC","MAC","31296758c126d7b46b30559fe5e1ae54",1424,"Asplenium hemionitis",1424,"Asplenium hemionitis","Vascular plants","1","N","N","Y","N","","",""
